"unique_route","statenum","Route","countrynum","x","y","SLOPE_Obs","SLOPE.STDERR_Obs","SLOPE_LogObs","SLOPE.STDERR_LogObs","SLOPE_Rare","SLOPE.STDERR_Rare","SLOPE_LogRare","SLOPE.STDERR_LogRare","SLOPE_Ab","SLOPE.STDERR_Ab","SLOPE_LogAb","SLOPE.STDERR_LogAb","SLOPE_Turn","SLOPE.STDERR_Turn","SLOPE_canopy.mean_400m","SLOPE.STDERR_canopy.mean_400m","SLOPE_canopy.lower_400m","SLOPE.STDERR_canopy.lower_400m","SLOPE_canopy.upper_400m","SLOPE.STDERR_canopy.upper_400m","SLOPE_crop.cci_400m","SLOPE.STDERR_crop.cci_400m","SLOPE_precip_400m","SLOPE.STDERR_precip_400m","SLOPE_temp_400m","SLOPE.STDERR_temp_400m","SLOPE_urban.gaia_400m","SLOPE.STDERR_urban.gaia_400m","SLOPE_perm.water_400m","SLOPE.STDERR_perm.water_400m","SLOPE_seas.water_400m","SLOPE.STDERR_seas.water_400m","SLOPE_water.total_400m","SLOPE.STDERR_water.total_400m","SLOPE_canopy.mean_20km","SLOPE.STDERR_canopy.mean_20km","SLOPE_canopy.lower_20km","SLOPE.STDERR_canopy.lower_20km","SLOPE_canopy.upper_20km","SLOPE.STDERR_canopy.upper_20km","SLOPE_crop.cci_20km","SLOPE.STDERR_crop.cci_20km","SLOPE_precip_20km","SLOPE.STDERR_precip_20km","SLOPE_temp_20km","SLOPE.STDERR_temp_20km","SLOPE_urban.gaia_20km","SLOPE.STDERR_urban.gaia_20km","SLOPE_perm.water_20km","SLOPE.STDERR_perm.water_20km","SLOPE_seas.water_20km","SLOPE.STDERR_seas.water_20km","SLOPE_water.total_20km","SLOPE.STDERR_water.total_20km","SLOPE_canopy.mean_40km","SLOPE.STDERR_canopy.mean_40km","SLOPE_canopy.lower_40km","SLOPE.STDERR_canopy.lower_40km","SLOPE_canopy.upper_40km","SLOPE.STDERR_canopy.upper_40km","SLOPE_crop.cci_40km","SLOPE.STDERR_crop.cci_40km","SLOPE_precip_40km","SLOPE.STDERR_precip_40km","SLOPE_temp_40km","SLOPE.STDERR_temp_40km","SLOPE_urban.gaia_40km","SLOPE.STDERR_urban.gaia_40km","SLOPE_perm.water_40km","SLOPE.STDERR_perm.water_40km","SLOPE_seas.water_40km","SLOPE.STDERR_seas.water_40km","SLOPE_water.total_40km","SLOPE.STDERR_water.total_40km"
"14_1",14,1,840,-2209975.86226062,2409512.50796405,-0.100492562065293,0.0605590717906199,-0.00162176478571142,0.00098175126597341,0.024405174617808,0.0214747241946741,0.00088834088277257,0.000783741124210897,-5.09769560159398,2.09177589261594,-0.00485465810435244,0.00199370484198218,-0.00128748804500983,0.000667725250807034,-0.207911389309187,0.0229799367294368,-0.217953050960037,0.0242816558054213,-0.197915647130646,0.0219567371459461,NA,NA,-0.446049046509702,0.421871746919531,0.0388893345162649,0.03513131987189,0.000226395616134544,7.2295233720039e-05,0.0146917459646458,0.014275355709169,0.000704402134711188,0.00501595472509112,0.01539615,0.01512609,-0.366327608557109,0.0354510660738557,-0.390033877279702,0.0391545928447366,-0.344121178266178,0.0323030112830196,2.9254582982169e-06,1.5904180811904e-06,-0.571911151708539,0.472131111883645,0.0378346150226993,0.0365235051150151,0.00020499024841953,4.31247471003362e-05,0.0398375812630593,0.0342874094039625,-7.49486844835402e-05,0.000289494060784582,0.0397626325785757,0.0342446182043078,-0.321400800865555,0.0175244698203295,-0.339908473748474,0.0197744366620009,-0.304376721611722,0.0157263781672617,-1.5227637146245e-06,2.26764985228531e-06,-0.814722476427009,0.559541145278944,0.0390191901579822,0.0358503749512032,0.00219146441620991,0.000544221356547178,0.0693105263876118,0.0595746500446186,0.000112728844476495,0.00015177552431683,0.0694232552320883,0.0595452054899484
"14_106",14,106,840,-1896554.25451031,1334133.93067913,-0.784493284493282,0.0993535178404023,-0.0138685047629535,0.00182715419877634,-0.193749480688989,0.0445918086111115,-0.00767500855664631,0.00181546334786675,-45.8308913308912,4.12748515561487,-0.0541810969276418,0.00503784053898452,0.00664600788248701,0.00127121165220718,-0.0996875553636375,0.0112052265482456,-0.0889936593855989,0.00990429573447738,-0.102498721611722,0.0115442925004672,0.000163684946293642,5.39878062749203e-05,-0.0439837281353905,0.18801542620498,0.0258490681923555,0.035881208093528,NA,NA,-0.000190485098925086,0.000101670601587828,-0.00258645573810027,0.0012713396273203,-0.002776941,0.001353238,-0.270594102563909,0.0220334913863929,-0.261221829619404,0.0210595480920468,-0.274780159951159,0.0224979358917277,-4.61951500527166e-05,8.22322180173781e-06,-0.0814783687174817,0.170189607203787,0.0306046252598234,0.0331435152586254,0.00719792914398414,0.000552467750764279,0.261513448492759,0.226729065199313,-0.002839331871169,0.000599854741712183,0.25867411662159,0.226588157693248,-0.183369586021811,0.015384962367704,-0.177106638583638,0.0146991445634716,-0.185594591575091,0.0156614651435466,-6.23586924108166e-05,4.32548417354009e-06,-0.0613784132049775,0.14925792125332,0.0292218037236835,0.0309183670718411,0.0650839442154914,0.00656870245771514,0.219457285607834,0.18965296641061,-0.00116543609027519,0.000373071069317375,0.218291849517559,0.189615740822512
"14_108",14,108,840,-2247919.01040013,1786673.87789358,0.00366300366300325,0.0859159253794374,2.50822129818614e-05,0.0013503743896178,-0.00157063528019666,0.0260823064888049,-5.71995293061976e-05,0.000838769711114493,6.12026862026864,3.3969291240208,0.00788826192846782,0.00375715689986566,0.00157033415796803,0.00105304510284726,-0.100065870544022,0.00574523152515038,-0.10294430486843,0.00546179325433897,-0.0963768864468865,0.00600730121873257,0.000303031455679429,2.81720494779119e-05,-0.553449718800405,0.259828365274973,0.0422145546915977,0.0334917841226392,0.000393651821029788,0.000227274984838535,NA,NA,NA,NA,NA,NA,-0.465427883504351,0.0297231791828083,-0.489819873360508,0.0322223408386572,-0.439910262515261,0.0274051275306114,-0.000132020266895026,8.44281822603324e-06,-0.633833095929872,0.287373053021382,0.0256137452982601,0.0294382269595626,0.0128309696249251,0.00165672805671897,0.153186845708571,0.131569808902444,-0.00181670461690481,0.00114278742378993,0.151370141091666,0.131338621413865,-0.31371531728208,0.0206627162726878,-0.245682368742367,0.0166420375577234,-0.222819774114773,0.0143647928555288,-5.28420285971265e-05,3.60140387293118e-06,-0.532311142808141,0.242766466968765,0.0220514401426265,0.0262403761751884,0.032685091518407,0.00594538203390253,0.396372857780903,0.338819567661577,-0.00290756554642086,0.00114668270862838,0.393465292234482,0.338678076556484
"14_11",14,11,840,-2266910.6341669,2148654.04328171,-0.0488008777888164,0.224470473206459,-0.000553292948642428,0.00401263011846844,-0.138386633023041,0.0584096990480569,-0.00502331524122629,0.00216504261116587,2.93479283139103,3.83954866163547,0.00738490139087595,0.00821318693007216,0.00101963472576874,0.0026498227638951,-0.263849183029227,0.0314697881849129,-0.269432403271632,0.033559979430021,-0.256795897435897,0.0295400309615612,-3.85128889801786e-05,1.2761328064967e-05,-1.24698666743539,0.667252516432059,0.0403903954111687,0.0343196189307212,NA,NA,0.158093055396042,0.141287548741041,0.00134096434855251,0.00456610194465797,0.159434,0.1419649,-0.324898475184288,0.0256513578184369,-0.336731670710416,0.0274243337511877,-0.31302047008547,0.0240726466992888,1.62568953621679e-05,2.43222215233867e-06,-1.26370447407392,0.718159914689306,0.0566566431148611,0.037557249412568,5.40303670265834e-05,1.7331182355358e-05,0.254502172457643,0.219759615516841,0.00109794480827954,0.000299348292572313,0.255600117265923,0.219727975004156,-0.179170045062117,0.0143866431826223,-0.185276697191697,0.0150393922689467,-0.17248702075702,0.0138162398344511,-1.90196558239355e-05,5.0610632301338e-06,-1.12975233981982,0.623686965631225,0.0542661001477326,0.0360502644114076,0.00691999390657887,0.00161333630553271,0.394718990314339,0.339435667036124,0.00118382655317009,0.000606480950598154,0.395902816867509,0.33957590613883
"14_112",14,112,840,-1971284.21129329,1494637.46028272,-0.113779104063289,0.152890891548844,-0.00370060511906147,0.00436022113635395,-0.0142402298276359,0.0528571429990494,-0.00107042834913851,0.00262749293102639,-1.63242999410101,3.23740820847242,-0.00227106350248919,0.00970584073909404,0.00705890088058753,0.0016207183447937,5.74859663193769e-05,8.87960829656164e-06,5.75005415265793e-05,8.88186094117424e-06,5.75005421245418e-05,8.88186086543519e-06,-0.000144199691711003,5.04135457527448e-05,-0.130600408432699,0.0963676678079447,0.0206196684024941,0.0375080539113145,0.000909322485401229,0.000297975745511374,1.41098181655353e-05,8.90315157088696e-06,4.46810908575284e-05,1.85168032227167e-05,5.879091e-05,2.30812e-05,-0.0892657353470798,0.00538628548393971,-0.0905272249979623,0.0053055325887006,-0.0870527191697191,0.00538391153982021,-7.67109872498773e-06,1.78751682542387e-06,-0.2230810011943,0.17098677844985,0.0333830544801555,0.0360305193923077,0.0774852195352809,0.0066520119192636,0.178069595936185,0.152382729482465,9.21611762711124e-05,0.000207940380010714,0.178161757112456,0.15233788297962,-0.20136922193428,0.00849291047271192,-0.205811799145299,0.0086184585636451,-0.19562521062271,0.00838597868849175,-4.1676565267653e-05,1.06209427790083e-06,-0.248412949237839,0.196120288799826,0.0343971379332767,0.0351986395369762,0.212463340725005,0.0260707630524527,0.183124725799207,0.157062797398887,3.68994201899113e-05,0.00050501969598855,0.183161625219397,0.156992192369403
"14_128",14,128,840,-1974198.7470195,1632774.20656637,0.097369648897695,0.10032969279174,0.00165350031949372,0.00158359350192271,0.00828024591853517,0.0741789552331795,0.000232666116036281,0.00289094203293885,6.75717368482431,3.43049813506441,0.0129148658758818,0.00557030230247217,-0.000694205888743475,0.00138773860209553,-0.00147304383208434,0.000205798907374043,-0.000985825861260084,0.000173974572991483,-0.00167935372405372,0.000234314688383908,-0.000179682623744584,5.04785121393297e-05,-0.128833761430548,0.086750971299509,0.0315795169791526,0.0361547978417067,NA,NA,NA,NA,-1.06494952985553e-05,1.39146160491241e-05,-1.06495e-05,1.391462e-05,-0.0744706214973413,0.00417501526404059,-0.0741980691744486,0.00426948063146006,-0.073913644078144,0.00408927222909129,-1.79032437096952e-05,3.8439909726397e-06,-0.188533052903728,0.109901614269348,0.0460453209377995,0.0395416034297147,0.00481789450817361,0.0010928798507062,0.332828459866641,0.29676610067312,-0.00450417427592327,0.00319811331182623,0.328324285590717,0.295696117063047,-0.0899873437873832,0.00371760493433113,-0.0898031746031744,0.00354229391912309,-0.0892316544566543,0.00382041365179254,-6.54931921032022e-06,1.39519558475907e-06,-0.285577666744935,0.141268309162705,0.0502536194684984,0.0388151508128174,0.00546744153867855,0.000722628116059736,0.30608619749491,0.26685379885953,-0.00238866696064828,0.00126387047743796,0.303697530534262,0.266397613861475
"14_137",14,137,840,-1882933.97628075,1264407.50882342,0.571550255536645,0.166581165885877,0.0120958205463526,0.00389687654083914,0.278989497706976,0.0709254862736505,0.012884761516669,0.0036519763004207,-2.14501703577567,5.14648752143227,-0.000890457893405443,0.0079082318841657,-0.00551733761335446,0.0017291453603924,-0.00698657640008443,0.00135345088173904,-0.00510915442189135,0.000969631148230609,-0.00726517769841271,0.00140566516505541,-0.00041716634044912,3.10577509443542e-05,0.0380987693230748,0.165107077742743,0.00945277851902532,0.0318698544514429,NA,NA,NA,NA,-0.00107790311327918,0.00016423473507477,-0.001077903,0.0001642347,-0.0440599125272864,0.00377068394542487,-0.0411562113004757,0.00331370430380279,-0.0451823363858363,0.00398563499768718,-1.50620459638871e-05,2.53367049997649e-06,0.0402942667216211,0.156096306869322,0.0241069303062276,0.0315726284258382,NA,NA,0.135370792276571,0.122508408383808,-0.000682524807781525,0.000627996874414114,0.13468826746879,0.122464877327165,-0.0702849182783236,0.00632181043654731,-0.067032097069597,0.00589284548529326,-0.0714372087912087,0.00650334182772121,-1.68433827079435e-05,1.56190358242711e-06,0.026154380407459,0.141926429539686,0.0278339243851794,0.0298018908874467,6.2668047160719e-05,1.64030934230991e-05,0.170449515746952,0.14872721179975,-0.000251789298036256,0.000230783281911349,0.170197726448915,0.14870785054601
"14_138",14,138,840,-2182373.97393186,1661609.6278377,-0.227065382665985,0.141515379059603,-0.00533169209301369,0.00338372082210087,-0.0503105474744626,0.0611654744051879,-0.00229698315737828,0.0029871127163827,-7.37785098834251,3.32611137999573,-0.0108421312209592,0.00510473848764297,6.22710980539089e-05,0.00196796472609963,-0.00630539544813549,0.000824223146207833,-0.00536648907904714,0.000625234615757793,-0.00634221123321126,0.000836246275740217,0.000234025234025234,3.12225289605385e-05,-0.372285424209065,0.250837074570106,0.0404750540762621,0.0333136777932385,6.66648555286332e-05,1.28296574283147e-05,9.49631813373234e-05,7.74509789175365e-05,-0.00131421046616219,0.000318911025879273,-0.001270265,0.0003504856,-0.0133765504214947,0.00154995351009237,-0.0126010281994831,0.00141710636682353,-0.0133372301587302,0.00159720461999134,-4.57062766058819e-06,7.99705100153373e-06,-0.3372246582584,0.234941646201604,0.0300449275746319,0.030196844651902,0.0405437611128596,0.00563896262691523,0.10769325063109,0.093447979723408,-0.000604341953848387,0.000239383386576789,0.107088908677241,0.093429269437005,-0.0165335683970065,0.00155914215484794,-0.0143690598290601,0.00131268833077015,-0.015060934065934,0.0014562540903264,-2.71085070594071e-05,4.53911470157713e-06,-0.306846652225909,0.220921570270957,0.0245962134595168,0.0282175941914682,0.0275568256805628,0.00408729794523077,0.46734364467589,0.402734642617184,-0.000703983866757121,0.000451538014235943,0.466639660809133,0.402675021949568
"14_14",14,14,840,-2331816.35605149,2086028.57136192,-0.519762845849815,0.106537093994176,-0.00730258237136945,0.00153106363887063,-0.0876455843848355,0.040286734660755,-0.00294892298937581,0.00137642243932763,-14.0711462450596,2.61038364588455,-0.0173651652793741,0.0031691919844621,0.000103324819670593,0.00173140778370884,-0.167676815167764,0.0132319158568878,-0.167405455200212,0.0126653967807609,-0.165892991452991,0.013359028459592,-1.39359226277578e-05,8.04590868054157e-06,-1.10212599091597,0.560561772594103,-0.00336077176254042,0.0210221945744617,0.00697572287773071,0.00106352345710721,0.219014857940415,0.188351265064074,0.00509196871829952,0.00138440240973884,0.2241068,0.188296,-0.0790874504950066,0.00718357074260231,-0.0496479594133042,0.00430175403227977,-0.0479829242979243,0.00450268438989062,-1.63089302809537e-06,1.33147224154543e-06,-1.15148042831363,0.613371455669944,0.00630462348035185,0.0233892246386135,0.000250111650942884,4.40015817788609e-05,0.325146018836898,0.279019995596173,0.000970568161027087,0.000333392911679663,0.326116586997925,0.27898335042309,-0.0960258531989081,0.00481329258721152,-0.0515415140415126,0.00241642456793226,-0.0497643040293034,0.00258808701011635,-1.29803597925725e-05,4.23188163665705e-06,-1.14955477683067,0.608084248997695,0.0123359233437066,0.0244467892094514,0.0033656093572279,0.000463783859357139,0.372638694149198,0.320096873677411,0.000485210624596333,0.000282926703383385,0.373123904773795,0.32007790068619
"14_140",14,140,840,-2131860.53338596,1619382.82525998,-0.0978260869565242,0.108490772467992,-0.00386300748533655,0.00438883454892108,-0.0395490690526437,0.0406725486637809,-0.00364410116030978,0.00375114541632559,-0.580039525691801,7.29378135729557,8.76262061176269e-05,0.00837788047919288,0.000132218166158507,0.00252881215614152,-1.36089716820625e-05,7.85714346403258e-06,-1.36091878867874e-05,7.85726828988871e-06,-1.36091904761907e-05,7.85726978488143e-06,NA,NA,-0.148894389313317,0.159038726423248,0.0303721178848121,0.0328260367811828,NA,NA,NA,NA,-0.0580254924521897,0.0182620061613354,-0.05888849,0.01842684,0.00158969417793404,0.000504052719393451,0.0017200825700167,0.000485358290601359,0.00157170763125762,0.000506661570294671,4.10605725566354e-06,4.46195772666129e-07,-0.189655397402548,0.18081682424355,0.0370666110976513,0.0354262922246725,0.0138831620954172,0.00177339425958735,-4.56826945263748e-05,1.73441686136178e-05,-0.00891178370466815,0.00286453935787565,-0.00908359480841419,0.00291467682741054,-0.135696168559278,0.0084751906054903,-0.137954354700854,0.00887538393599543,-0.133046674603174,0.0081020786688908,-2.28673505349615e-05,3.60896512574369e-06,-0.215424543346919,0.197148949817765,0.0311307727605988,0.0342851268043374,0.029975970033039,0.00425241703813637,0.0210673013608639,0.0182774371147088,-0.00243285165466608,0.00134533499285554,0.0186344497061978,0.017900932060235
